Variable,Media,Mediana,Mínimo,Máximo,Desv_std,P25,P75,P90
age,21.388,21.0,18.0,28.0,2.015,20.0,22.0,24.0
year_of_study,2.106,2.0,1.0,4.0,0.993,1.0,3.0,4.0
daily_ai_tool_usage_hrs,2.568,2.4,0.2,8.0,1.566,1.3,3.55,4.8
ai_replaces_own_thinking_score,3.227,3.0,1.0,5.0,1.274,2.0,4.0,5.0
ai_dependency_score,5.061,5.0,1.0,10.0,2.244,3.0,7.0,8.0
placement_anxiety_score,5.958,6.0,1.0,10.0,2.553,4.0,8.0,9.0
fear_of_job_loss_to_ai,3.651,4.0,1.0,5.0,1.164,3.0,5.0,5.0
career_clarity_score,5.088,5.0,1.0,10.0,2.199,4.0,7.0,8.0
internship_experience,1.717,2.0,0.0,4.0,1.068,1.0,2.0,3.0
weekly_job_application_count,10.694,10.0,0.0,35.0,6.404,6.0,15.0,19.0
resume_confidence_score,3.288,3.0,1.0,5.0,1.246,2.0,4.0,5.0
interview_anxiety_score,6.167,6.0,1.0,10.0,2.634,4.0,8.0,10.0
daily_study_hours,2.716,2.6,0.0,10.3,1.804,1.3,3.9,5.1
self_learning_hours_per_week,7.173,6.6,0.0,31.0,5.624,2.4,11.0,15.0
skill_development_courses_taken,2.023,2.0,0.0,10.0,1.808,1.0,3.0,4.0
social_media_hrs_per_day,3.008,3.0,0.0,8.0,1.652,1.8,4.1,5.1
sleep_hours,6.99,7.0,4.0,10.0,1.006,6.3,7.7,8.3
stress_level,4.82,5.0,1.0,10.0,1.78,4.0,6.0,7.0
burnout_score,5.642,6.0,1.0,10.0,2.064,4.0,7.0,8.0
motivation_score,4.239,4.0,1.0,10.0,2.135,3.0,6.0,7.0
seeks_career_counseling,0.291,0.0,0.0,1.0,0.454,0.0,1.0,1.0
overall_career_readiness_score,5.987,5.98,1.0,10.0,1.595,4.89,7.1,8.04
