variable,apariciones_en_reglas,porcentaje_reglas
motivation_score,440,27.92
seeks_career_counseling,374,23.73
stress_level,317,20.11
ai_dependency_score,307,19.48
placement_anxiety_score,277,17.58
interview_anxiety_score,263,16.69
fear_of_job_loss_to_ai,248,15.74
ai_replaces_own_thinking_score,227,14.4
daily_ai_tool_usage_hrs,219,13.9
career_clarity_score,201,12.75
resume_confidence_score,195,12.37
daily_study_hours,193,12.25
college_tier,184,11.68
social_media_hrs_per_day,179,11.36
weekly_job_application_count,176,11.17
stream,157,9.96
internship_experience,156,9.9
sleep_hours,150,9.52
uses_ai_for_assignments,142,9.01
degree_type,141,8.95
