support,itemsets
0.7721018077165213,weekly_job_application_count=alto
0.7087867613994064,seeks_career_counseling=no
0.7023113589351561,sleep_hours=medio
0.5917798363162154,stress_level=medio
0.584854753125281,fear_of_job_loss_to_ai=alto
0.5662379710405612,ai_replaces_own_thinking_score=bajo
0.5438438708516953,sleep_hours=medio + weekly_job_application_count=alto
0.5424948286716431,resume_confidence_score=bajo
0.5299037683244896,daily_study_hours=medio
0.5274754924003957,seeks_career_counseling=no + weekly_job_application_count=alto
0.5022034355607519,seeks_career_counseling=no + sleep_hours=medio
0.4989657343286267,college_tier=tier_3
0.49869592589261624,career_clarity_score=medio
0.4985160536019426,burnout_cat=medio
0.48970231135893516,stream=cs/it
0.4892526306322511,daily_ai_tool_usage_hrs=medio
0.47702131486644483,fear_of_job_loss_to_ai=alto + weekly_job_application_count=alto
0.47531252810504543,ai_dependency_score=medio
0.47225469916359386,interview_anxiety_score=alto
0.46317114848457597,stress_level=medio + weekly_job_application_count=alto
0.4583145966363882,motivation_score=medio
0.4575051713283569,resume_confidence_score=medio
0.456965554456336,social_media_hrs_per_day=medio
0.44878136523068624,degree_type=b.tech/b.e.
0.44050723985969964,placement_anxiety_score=alto
0.4337620289594388,ai_replaces_own_thinking_score=medio
0.43025451929130315,ai_replaces_own_thinking_score=bajo + weekly_job_application_count=alto
0.42944509398327185,sleep_hours=medio + stress_level=medio
0.42368918068171596,resume_confidence_score=bajo + weekly_job_application_count=alto
0.4214407770482957,ai_replaces_own_thinking_score=bajo + seeks_career_counseling=no
0.41712384207212877,seeks_career_counseling=no + stress_level=medio
0.40956920586383666,fear_of_job_loss_to_ai=alto + sleep_hours=medio
0.4007554636208292,daily_study_hours=medio + weekly_job_application_count=alto
0.40039571903948196,college_tier=tier_3 + weekly_job_application_count=alto
0.40030578289414515,ai_replaces_own_thinking_score=bajo + sleep_hours=medio
0.39787750697005125,interview_anxiety_score=alto + weekly_job_application_count=alto
0.39356057199388433,daily_study_hours=medio + seeks_career_counseling=no
0.3917618490871481,burnout_cat=medio + seeks_career_counseling=no
0.3883442755643493,motivation_score=bajo
0.38123932008274125,resume_confidence_score=bajo + sleep_hours=medio
0.3801600863386995,stream=cs/it + weekly_job_application_count=alto
0.37890098030398417,career_clarity_score=medio + weekly_job_application_count=alto
0.37872110801331055,burnout_cat=medio + weekly_job_application_count=alto
0.37629283208921666,seeks_career_counseling=no + sleep_hours=medio + weekly_job_application_count=alto
0.3760230236532062,daily_ai_tool_usage_hrs=medio + weekly_job_application_count=alto
0.37449410918248044,placement_anxiety_score=alto + weekly_job_application_count=alto
0.3726054501304074,daily_study_hours=medio + sleep_hours=medio
0.3715262163863657,degree_type=b.tech/b.e. + weekly_job_application_count=alto
0.37035704649698714,career_clarity_score=medio + seeks_career_counseling=no
0.36882813202626136,interview_anxiety_score=alto + placement_anxiety_score=alto
0.36630991995683065,ai_dependency_score=medio + weekly_job_application_count=alto
0.36621998381149384,fear_of_job_loss_to_ai=alto + seeks_career_counseling=no
0.3649608777767785,placement_anxiety_score=medio
0.36307221872470546,daily_study_hours=bajo
0.3625326018526846,fear_of_job_loss_to_ai=alto + stress_level=medio
0.35722636927781276,resume_confidence_score=medio + seeks_career_counseling=no
0.35560751866175017,burnout_cat=medio + sleep_hours=medio
0.35479809335371887,uses_ai_for_assignments=rarely
0.3543484126270348,fear_of_job_loss_to_ai=alto + interview_anxiety_score=alto
0.3540786041910244,college_tier=tier_3 + sleep_hours=medio
0.3535389873190035,social_media_hrs_per_day=medio + weekly_job_application_count=alto
