antecedente,consecuente,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,n_antecedentes
ai_dependency_score=alto + motivation_score=bajo + stress_level=alto,burnout_cat=alto,0.035165032826693046,0.3433762028959439,0.03345624606529364,0.9514066496163683,2.7707413664443163,0.02138141061855256,13.512626561457168,0.6623783206241529,3
daily_ai_tool_usage_hrs=alto + motivation_score=bajo + stress_level=alto,burnout_cat=alto,0.038402734058818236,0.3433762028959439,0.03543484126270348,0.9227166276346604,2.6871886282529567,0.02224825626076373,8.496313980710061,0.6529384842977622,3
ai_replaces_own_thinking_score=medio + seeks_career_counseling=si + stress_level=alto,burnout_cat=alto,0.04119075456425938,0.3433762028959439,0.03759330875078694,0.9126637554585152,2.6579120735838737,0.023449383854092783,7.5183424768414335,0.6505619687013748,3
motivation_score=bajo + seeks_career_counseling=si + stress_level=alto,burnout_cat=alto,0.05234283658602392,0.3433762028959439,0.04766615702850976,0.9106529209621993,2.6520560052851474,0.029692872552797973,7.349135575280011,0.6573411572159917,3
daily_ai_tool_usage_hrs=alto + seeks_career_counseling=si + stress_level=alto,burnout_cat=alto,0.034895224390682614,0.3433762028959439,0.031657523158557424,0.9072164948453608,2.6420482467746376,0.0196753335080829,7.076945368788159,0.6439775162867138,3
ai_replaces_own_thinking_score=medio + motivation_score=bajo + stress_level=alto,burnout_cat=alto,0.05009443295260365,0.3433762028959439,0.04460832808705819,0.8904847396768403,2.59332106350623,0.027407091913567702,5.995728770278023,0.6467948854994472,3
ai_dependency_score=alto + ai_replaces_own_thinking_score=medio + stress_level=alto,burnout_cat=alto,0.042899541325658784,0.3433762028959439,0.03804298947747099,0.8867924528301886,2.582568172608399,0.02331230787108865,5.800176874419157,0.6402551911934645,3
ai_dependency_score=alto + placement_anxiety_score=alto + stress_level=alto,burnout_cat=alto,0.04559762568576311,0.3433762028959439,0.04020145696555446,0.8816568047337279,2.567611841758596,0.024544317396506563,5.548471085529276,0.6397019203282596,3
ai_dependency_score=alto + stress_level=alto + weekly_job_application_count=alto,burnout_cat=alto,0.04811583775519381,0.3433762028959439,0.04235992445363792,0.8803738317757009,2.5638754938486166,0.02583809078610217,5.488964553916719,0.6407979917609884,3
ai_dependency_score=alto + stream=cs/it + stress_level=alto,burnout_cat=alto,0.039841712384207216,0.3433762028959439,0.035075096681356235,0.8803611738148983,2.563838630604467,0.02139440076599486,5.488383813530124,0.6352701002007858,3
ai_dependency_score=alto + interview_anxiety_score=alto + stress_level=alto,burnout_cat=alto,0.045147944959079055,0.3433762028959439,0.039661840093533594,0.8784860557768925,2.5583778036100755,0.024159110184929958,5.403690920430106,0.6379284752110005,3
fear_of_job_loss_to_ai=alto + motivation_score=bajo + stress_level=alto,burnout_cat=alto,0.07734508498965734,0.3433762028959439,0.0679017897292922,0.877906976744186,2.556691376222788,0.041343328132879595,5.378061576280841,0.6599103097328851,3
motivation_score=bajo + stream=cs/it + stress_level=alto,burnout_cat=alto,0.04991456066193003,0.3433762028959439,0.04379890277902689,0.8774774774774775,2.555440563664765,0.026659430469714106,5.359208932246341,0.6406561123088992,3
ai_dependency_score=alto + fear_of_job_loss_to_ai=alto + stress_level=alto,burnout_cat=alto,0.051353538987319,0.3433762028959439,0.04487813652306862,0.8739054290718039,2.545037838095701,0.027244553300334207,5.207391502033558,0.6399418100516543,3
ai_dependency_score=alto + resume_confidence_score=bajo + stress_level=alto,burnout_cat=alto,0.03552477740804029,0.3433762028959439,0.03102797014119975,0.8734177215189874,2.5436175080067107,0.018829606966103262,5.187327997122047,0.6292117369140868,3
internship_experience=1 + motivation_score=bajo + stress_level=alto,burnout_cat=alto,0.03444554366399856,0.3433762028959439,0.03003867254249483,0.8720626631853786,2.5396712289047207,0.018210892552464567,5.132386005935786,0.627875768582061,3
ai_dependency_score=alto + stress_level=alto,burnout_cat=alto,0.05513085709146506,0.3433762028959439,0.048025901609857,0.8711256117455138,2.536942293608792,0.029095277239390805,5.095068197782105,0.6411731195514458,2
ai_dependency_score=alto + daily_ai_tool_usage_hrs=alto + stress_level=alto,burnout_cat=alto,0.041820307581617054,0.3433762028959439,0.0364241388614084,0.8709677419354838,2.536482536034742,0.02206404044009228,5.088834427556431,0.6321916998658128,3
motivation_score=bajo + resume_confidence_score=bajo + stress_level=alto,burnout_cat=alto,0.06547351380519831,0.3433762028959439,0.05674970770752766,0.8667582417582418,2.52422338661862,0.0342676611468435,4.9280631370283805,0.646143857577591,3
seeks_career_counseling=si + stream=cs/it + stress_level=alto,burnout_cat=alto,0.04820577390053062,0.3433762028959439,0.04173037143628024,0.8656716417910448,2.5210589274684723,0.025177655836655644,4.888199378441308,0.6338988683868404,3
interview_anxiety_score=alto + motivation_score=bajo + stress_level=alto,burnout_cat=alto,0.07689540426297328,0.3433762028959439,0.06655274754924004,0.8654970760233919,2.5205505469628324,0.040148695613271695,4.881855187164941,0.6535134608497819,3
college_tier=tier_3 + motivation_score=bajo + stress_level=alto,burnout_cat=alto,0.05000449680726684,0.3433762028959439,0.04325928590700603,0.8651079136690648,2.5194172058895576,0.02608893166560439,4.867771082531404,0.6348270145486845,3
motivation_score=bajo + stress_level=alto + weekly_job_application_count=alto,burnout_cat=alto,0.07896393560571995,0.3433762028959439,0.06808166201996582,0.8621867881548974,2.5109101355406764,0.040967325645953886,4.764592511217856,0.6533273343595053,3
daily_study_hours=bajo + motivation_score=bajo + stress_level=alto,burnout_cat=alto,0.03921215936684954,0.3433762028959439,0.03372605450130407,0.860091743119266,2.504808824448171,0.02026153211056466,4.693245500612594,0.6252867796187088,3
