dimension,antecedente,support,confidence,lift,interpretacion
subjetivas/emocionales,motivation_score=bajo + stress_level=alto,0.07770482957100458,0.8554455445544553,2.491277896778677,"Cuando aparece motivation_score=bajo + stress_level=alto, la proporción de casos con burnout alto es 85.5%, con un lift de 2.49."
subjetivas/emocionales + conductuales/contextuales,seeks_career_counseling=si + stress_level=alto,0.07365770303084809,0.8365679264555669,2.43630140761117,"Cuando aparece seeks_career_counseling=si + stress_level=alto, la proporción de casos con burnout alto es 83.7%, con un lift de 2.44."
subjetivas/emocionales + conductuales/contextuales,motivation_score=bajo + seeks_career_counseling=si + stress_level=alto,0.04766615702850976,0.9106529209621993,2.6520560052851474,"Cuando aparece motivation_score=bajo + seeks_career_counseling=si + stress_level=alto, la proporción de casos con burnout alto es 91.1%, con un lift de 2.65."
subjetivas/emocionales + conductuales/contextuales,motivation_score=bajo + seeks_career_counseling=si,0.11862577569925353,0.7243272926963207,2.109427754711993,"Cuando aparece motivation_score=bajo + seeks_career_counseling=si, la proporción de casos con burnout alto es 72.4%, con un lift de 2.11."
subjetivas/emocionales + IA,fear_of_job_loss_to_ai=alto + stress_level=alto,0.10630452378811044,0.7415307402760352,2.159528627849459,"Cuando aparece fear_of_job_loss_to_ai=alto + stress_level=alto, la proporción de casos con burnout alto es 74.2%, con un lift de 2.16."
subjetivas/emocionales + conductuales/contextuales,interview_anxiety_score=alto + motivation_score=bajo + seeks_career_counseling=si,0.08984620919147406,0.7620137299771167,2.21918037286945,"Cuando aparece interview_anxiety_score=alto + motivation_score=bajo + seeks_career_counseling=si, la proporción de casos con burnout alto es 76.2%, con un lift de 2.22."
subjetivas/emocionales,interview_anxiety_score=alto + stress_level=alto,0.10288695026531162,0.7356913183279743,2.142522726162584,"Cuando aparece interview_anxiety_score=alto + stress_level=alto, la proporción de casos con burnout alto es 73.6%, con un lift de 2.14."
subjetivas/emocionales,placement_anxiety_score=alto + stress_level=alto,0.10315675870132206,0.7305732484076434,2.127617587492034,"Cuando aparece placement_anxiety_score=alto + stress_level=alto, la proporción de casos con burnout alto es 73.1%, con un lift de 2.13."
subjetivas/emocionales + conductuales/contextuales,stress_level=alto + weekly_job_application_count=alto,0.1084629912761939,0.7208607292289301,2.0993322284694798,"Cuando aparece stress_level=alto + weekly_job_application_count=alto, la proporción de casos con burnout alto es 72.1%, con un lift de 2.10."
subjetivas/emocionales + conductuales/contextuales,motivation_score=bajo + placement_anxiety_score=alto + seeks_career_counseling=si,0.08696825254069611,0.7608182533438238,2.215698836807223,"Cuando aparece motivation_score=bajo + placement_anxiety_score=alto + seeks_career_counseling=si, la proporción de casos con burnout alto es 76.1%, con un lift de 2.22."
