antecedente,consecuente,support,confidence,lift,n_antecedentes
ai_dependency_score=alto + motivation_score=bajo + stress_level=alto,burnout_cat=alto,0.03345624606529364,0.9514066496163683,2.7707413664443163,3
daily_ai_tool_usage_hrs=alto + motivation_score=bajo + stress_level=alto,burnout_cat=alto,0.03543484126270348,0.9227166276346604,2.6871886282529567,3
ai_replaces_own_thinking_score=medio + seeks_career_counseling=si + stress_level=alto,burnout_cat=alto,0.03759330875078694,0.9126637554585152,2.6579120735838737,3
daily_ai_tool_usage_hrs=alto + seeks_career_counseling=si + stress_level=alto,burnout_cat=alto,0.031657523158557424,0.9072164948453608,2.6420482467746376,3
ai_dependency_score=alto + stress_level=alto,burnout_cat=alto,0.048025901609857,0.8711256117455138,2.536942293608792,2
ai_dependency_score=alto + motivation_score=bajo + seeks_career_counseling=si,burnout_cat=alto,0.05432143178343376,0.8308115543328748,2.4195373684199146,3
ai_replaces_own_thinking_score=medio + stress_level=alto,burnout_cat=alto,0.0620559402823995,0.8243727598566309,2.400785939456752,2
daily_ai_tool_usage_hrs=alto + motivation_score=bajo + seeks_career_counseling=si,burnout_cat=alto,0.052972389603381596,0.8046448087431693,2.343333061397407,3
daily_ai_tool_usage_hrs=alto + stress_level=alto,burnout_cat=alto,0.055220793236801874,0.798439531859558,2.3252616958476753,2
motivation_score=bajo + placement_anxiety_score=alto + uses_ai_for_assignments=frequently,burnout_cat=alto,0.031927331594567857,0.797752808988764,2.323261781861201,3
ai_dependency_score=alto + motivation_score=bajo + placement_anxiety_score=alto,burnout_cat=alto,0.06502383307851425,0.7945054945054945,2.3138047651667346,3
ai_dependency_score=alto + interview_anxiety_score=alto + motivation_score=bajo,burnout_cat=alto,0.06574332224120874,0.7860215053763441,2.2890972022733287,3
interview_anxiety_score=alto + motivation_score=bajo + uses_ai_for_assignments=frequently,burnout_cat=alto,0.03201726773990467,0.7655913978494623,2.229599463773748,3
daily_ai_tool_usage_hrs=alto + motivation_score=bajo + placement_anxiety_score=alto,burnout_cat=alto,0.0653835776598615,0.7628541448058761,2.221627877448019,3
stress_level=alto + uses_ai_for_assignments=sometimes,burnout_cat=alto,0.039841712384207216,0.7572649572649574,2.205350722846794,2
daily_ai_tool_usage_hrs=alto + interview_anxiety_score=alto + motivation_score=bajo,burnout_cat=alto,0.06763198129328177,0.7497507477567298,2.18346740814748,3
fear_of_job_loss_to_ai=alto + stress_level=alto,burnout_cat=alto,0.10630452378811044,0.7415307402760352,2.159528627849459,2
daily_ai_tool_usage_hrs=alto + placement_anxiety_score=alto + seeks_career_counseling=si,burnout_cat=alto,0.056479899271517225,0.7414403778040143,2.159265469042125,3
ai_dependency_score=alto + seeks_career_counseling=si,burnout_cat=alto,0.0737476391761849,0.739404869251578,2.153337543532817,2
fear_of_job_loss_to_ai=alto + motivation_score=bajo + uses_ai_for_assignments=frequently,burnout_cat=alto,0.03885241478550229,0.7384615384615384,2.150590321150824,3
