antecedente,consecuente,support,confidence,lift,n_antecedentes
ai_dependency_score=alto + motivation_score=bajo + stress_level=alto,burnout_cat=alto,0.03345624606529364,0.9514066496163683,2.7707413664443163,3
daily_ai_tool_usage_hrs=alto + motivation_score=bajo + stress_level=alto,burnout_cat=alto,0.03543484126270348,0.9227166276346604,2.6871886282529567,3
ai_replaces_own_thinking_score=medio + seeks_career_counseling=si + stress_level=alto,burnout_cat=alto,0.03759330875078694,0.9126637554585152,2.6579120735838737,3
motivation_score=bajo + seeks_career_counseling=si + stress_level=alto,burnout_cat=alto,0.04766615702850976,0.9106529209621993,2.6520560052851474,3
daily_ai_tool_usage_hrs=alto + seeks_career_counseling=si + stress_level=alto,burnout_cat=alto,0.031657523158557424,0.9072164948453608,2.6420482467746376,3
ai_replaces_own_thinking_score=medio + motivation_score=bajo + stress_level=alto,burnout_cat=alto,0.04460832808705819,0.8904847396768403,2.59332106350623,3
ai_dependency_score=alto + ai_replaces_own_thinking_score=medio + stress_level=alto,burnout_cat=alto,0.03804298947747099,0.8867924528301886,2.582568172608399,3
ai_dependency_score=alto + placement_anxiety_score=alto + stress_level=alto,burnout_cat=alto,0.04020145696555446,0.8816568047337279,2.567611841758596,3
ai_dependency_score=alto + stress_level=alto + weekly_job_application_count=alto,burnout_cat=alto,0.04235992445363792,0.8803738317757009,2.5638754938486166,3
ai_dependency_score=alto + stream=cs/it + stress_level=alto,burnout_cat=alto,0.035075096681356235,0.8803611738148983,2.563838630604467,3
ai_dependency_score=alto + interview_anxiety_score=alto + stress_level=alto,burnout_cat=alto,0.039661840093533594,0.8784860557768925,2.5583778036100755,3
fear_of_job_loss_to_ai=alto + motivation_score=bajo + stress_level=alto,burnout_cat=alto,0.0679017897292922,0.877906976744186,2.556691376222788,3
motivation_score=bajo + stream=cs/it + stress_level=alto,burnout_cat=alto,0.04379890277902689,0.8774774774774775,2.555440563664765,3
ai_dependency_score=alto + fear_of_job_loss_to_ai=alto + stress_level=alto,burnout_cat=alto,0.04487813652306862,0.8739054290718039,2.545037838095701,3
ai_dependency_score=alto + resume_confidence_score=bajo + stress_level=alto,burnout_cat=alto,0.03102797014119975,0.8734177215189874,2.5436175080067107,3
internship_experience=1 + motivation_score=bajo + stress_level=alto,burnout_cat=alto,0.03003867254249483,0.8720626631853786,2.5396712289047207,3
ai_dependency_score=alto + stress_level=alto,burnout_cat=alto,0.048025901609857,0.8711256117455138,2.536942293608792,2
ai_dependency_score=alto + daily_ai_tool_usage_hrs=alto + stress_level=alto,burnout_cat=alto,0.0364241388614084,0.8709677419354838,2.536482536034742,3
motivation_score=bajo + resume_confidence_score=bajo + stress_level=alto,burnout_cat=alto,0.05674970770752766,0.8667582417582418,2.52422338661862,3
seeks_career_counseling=si + stream=cs/it + stress_level=alto,burnout_cat=alto,0.04173037143628024,0.8656716417910448,2.5210589274684723,3
