variable,dtype,num_unique,num_missing
student_id,str,15000,0
age,int64,11,0
gender,str,3,0
degree_type,str,4,0
stream,str,4,0
year_of_study,int64,4,0
college_tier,str,3,0
urban_or_rural,str,2,0
daily_ai_tool_usage_hrs,float64,81,0
primary_ai_tools_used,str,5,3215
uses_ai_for_assignments,str,5,0
ai_replaces_own_thinking_score,int64,5,0
ai_dependency_score,int64,10,0
placement_anxiety_score,int64,10,0
fear_of_job_loss_to_ai,int64,5,0
career_clarity_score,int64,10,0
internship_experience,int64,5,0
weekly_job_application_count,int64,36,0
resume_confidence_score,int64,5,0
interview_anxiety_score,int64,10,0
daily_study_hours,float64,95,0
self_learning_hours_per_week,float64,265,233
skill_development_courses_taken,int64,11,0
social_media_hrs_per_day,float64,81,210
sleep_hours,float64,61,203
stress_level,int64,10,0
burnout_score,int64,10,0
motivation_score,int64,10,0
seeks_career_counseling,float64,2,220
overall_career_readiness_score,float64,837,0
