original,normalized
student_id,student_id
age,age
gender,gender
degree_type,degree_type
stream,stream
year_of_study,year_of_study
college_tier,college_tier
urban_or_rural,urban_or_rural
daily_ai_tool_usage_hrs,daily_ai_tool_usage_hrs
primary_ai_tools_used,primary_ai_tools_used
uses_ai_for_assignments,uses_ai_for_assignments
ai_replaces_own_thinking_score,ai_replaces_own_thinking_score
ai_dependency_score,ai_dependency_score
placement_anxiety_score,placement_anxiety_score
fear_of_job_loss_to_ai,fear_of_job_loss_to_ai
career_clarity_score,career_clarity_score
internship_experience,internship_experience
weekly_job_application_count,weekly_job_application_count
resume_confidence_score,resume_confidence_score
interview_anxiety_score,interview_anxiety_score
daily_study_hours,daily_study_hours
self_learning_hours_per_week,self_learning_hours_per_week
skill_development_courses_taken,skill_development_courses_taken
social_media_hrs_per_day,social_media_hrs_per_day
sleep_hours,sleep_hours
stress_level,stress_level
burnout_score,burnout_score
motivation_score,motivation_score
seeks_career_counseling,seeks_career_counseling
overall_career_readiness_score,overall_career_readiness_score
